misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
3000,1440480,296,10.23183191,1.374986708164215,0.008949661161750555,1.5550269931554794
3020,1450080,296,11.534666529999999,1.3755004405975342,0.000736417155712843,12.408102321624757
3040,1459680,296,14.369878449999998,1.37631995677948,0.010786335822194815,1.6575942665338517
3060,1469280,296,11.728277989999999,1.3773576617240906,0.00234869122505188,12.905917716026305
3080,1478880,295,14.367061800000002,1.3769032955169678,-0.004907219111919403,10.610653273761272
3100,1488480,295,16.09425195,1.3765906929969787,0.003565656766295433,17.7218035697937
3120,1498080,296,14.093589949999997,1.377062237262726,0.0017561490647494793,2.350713038444519
3140,1507680,296,14.139226180000001,1.3770323157310487,-0.003237128257751465,3.594485008716583
3160,1517280,295,11.550347860000002,1.3765491724014283,0.028294994495809078,26.326266050338745
3180,1526880,295,15.14893282,1.3770002961158752,0.0028918590396642685,4.266724106669426
3200,1536480,295,8.58574046,1.376702642440796,-0.00265432083979249,18.122712951898574
3220,1546080,295,18.044114750000002,1.3765076041221618,0.0009114716202020645,23.613019597530364
3240,1555680,295,13.354718270000001,1.377439594268799,0.000871218740940094,10.076901018619537
3260,1565280,295,13.7609129,1.377945601940155,-0.006236017867922783,4.661723813414573
3280,1574880,295,11.371599810000003,1.3778820514678956,0.0059290118515491486,13.313466727733612
3300,1584480,295,12.537000290000002,1.3779773712158203,0.00730315480614081,37.04748249053955
3320,1594080,295,18.73541552,1.3777844071388246,-0.005628204718232155,14.214146026968956
3340,1603680,295,13.556995510000002,1.3781100034713745,-0.0004470348358154297,8.98835447728634
3360,1613280,295,9.69691255,1.3787271857261658,0.004619168490171433,3.5326621174812316
3380,1622880,295,13.69835621,1.3774432301521302,0.006751959770917892,5.009079787135124
3400,1632480,295,13.214497400000003,1.3775947093963623,-0.004356207943055778,17.418424487113953
3420,1642080,295,11.93042872,1.3774213790893555,-0.0020802849903702736,26.539785146713257
3440,1651680,295,16.769516529999997,1.3784498929977418,0.0018443319015204907,1.8670831382274629
3460,1661280,295,11.96279159,1.3786439299583435,0.0009296607226133346,16.18669221997261
3480,1670880,294,14.327278789999998,1.378317952156067,-0.006108655408024788,2.5299659073352814
3500,1680480,294,14.850869799999996,1.3780304789543152,0.013480801694095134,23.035845255851747
3520,1690080,294,14.94230045,1.3786518931388856,-0.007324274815618992,19.85258594751358
3540,1699680,294,17.632518840000003,1.37962304353714,-0.0006063709035515786,3.293156844377518
3560,1709280,294,14.005719509999999,1.3797184348106384,-0.00038766537327319386,11.715675151348114
3580,1718880,294,19.18551352,1.3786333084106446,0.0013240434229373932,4.512982380390167
3600,1728480,294,10.663068020000003,1.379399597644806,-0.0025315210223197937,9.657738280296325
3620,1738080,294,15.450694069999999,1.3802638173103332,0.0009317949414253234,0.5642548084259034
3640,1747680,294,14.06378092,1.3804624319076537,0.010480673098936678,0.5420805364847183
3660,1757280,294,17.678589590000005,1.3812092900276185,0.003955818712711334,1.9701190710067749
3680,1766880,294,9.754544549999999,1.3824083924293518,-0.00646447241306305,34.95005149841309
3700,1776480,294,12.2225377,1.383367896080017,-0.0004512994550168514,14.755392217636109
3720,1786080,295,17.75920354,1.3830093026161194,0.0068108959589153525,2.98315110206604
3740,1795680,294,14.325776060000003,1.3830433249473573,0.0022613085806369782,9.843886983394622
3760,1805280,294,11.40730843,1.3837934374809264,-0.005520815961062908,1.7560712397098541
3780,1814880,294,11.466335610000002,1.383706021308899,0.0018021166324615479,1.388303768634796
3800,1824480,294,12.028911149999999,1.3841697573661804,-0.006046805088408292,1.4646443635225297
3820,1834080,294,18.26186401,1.3835477352142334,-0.001922535616904497,0.5083938121795655
3840,1843680,294,16.310365490000002,1.3826480865478517,0.007716034294571727,16.630106830596922
3860,1853280,294,10.47139635,1.3826900839805603,0.012195617938414217,4.175410366058349
3880,1862880,294,12.32405569,1.3811281204223633,0.0015119954943656922,6.15973370373249
3900,1872480,294,16.107774429999996,1.381243348121643,-0.011634041368961335,1.8279798358678818
3920,1882080,294,16.062042339999998,1.3810864686965942,-0.008251722529530525,1.111384752392769
3940,1891680,294,17.76309586,1.3815262198448182,0.013643817603588104,9.481551134586335
3960,1901280,294,12.2353603,1.3819716215133666,-0.009036515653133393,0.43196856677532197
3980,1910880,294,12.651127840000001,1.3811232566833496,0.014583224663510919,4.387761813402176
4000,1920480,294,12.246838990000004,1.3818011641502381,-0.009828631300479174,8.2038325548172
4020,1930080,294,16.47531957,1.3827329993247985,0.0006890004267916083,6.1809014797210695
4040,1939680,293,11.781120400000002,1.3832775712013246,0.0017662301659584045,14.491286557912826
4060,1949280,293,14.14932691,1.3824805855751037,-0.0027530282735824586,6.847823017835617
4080,1958880,293,12.449910260000001,1.3821518898010254,-0.0009801466017961501,0.7498721122741699
4100,1968480,293,12.370200679999998,1.38150554895401,0.00253814235329628,5.850082981586456
4120,1978080,293,16.9448668,1.3813024044036866,0.002074040472507477,0.514083418250084
4140,1987680,293,12.89882028,1.3802300930023192,-0.0028198659420013428,7.229972800612449
